"technology_sheet","technology_name","capex_row_number","capex_row_used","capex_2024","capex_2030","capex_2050","capex_ratio_2030_over_2024","capex_ratio_2050_over_2030","opex_row_number","opex_row_used","opex_2024","opex_2030","opex_2050","opex_ratio_2030_over_2024","opex_ratio_2050_over_2030"
"2.a. Residential PV (rooftop)","Residential PV (rooftop)","28","Specific investment, total system ($M/MWe)","1.3612000000000002","0.9389215660246968","0.6304832456704049","0.6897748795362156","0.6714972458666703","34","Fixed O&M ($/MWe/year)","17000","14600","12300","0.8588235294117647","0.8424657534246576"
"2.b. Industrial PV (rooftop)","Industrial PV (rooftop)","28","Specific investment, total system (M$/MWe)","1.1801999999999997","0.8131921281720912","0.5454161563688047","0.6890290867413077","0.6707100788036421","34","Fixed O&M ($/MWe/year)","15000","12900","10900","0.86","0.8449612403100775"
"2.c. Small scale PV","Small scale PV","28","Specific investment, total system (M$/MWe)","1.1189","0.7725206066139501","0.5192774417871768","0.6904286411778979","0.672185877426923","34","Fixed O&M ($/MWe/year)","11000","9400","8000","0.8545454545454545","0.851063829787234"
"2.d. Utility scale PV(tracking)","Utility scale PV(tracking)","28","Specific investment, total system (M$/MWe)","1.0329000000000002","0.7128676474598361","0.47897896321830324","0.6901613393937807","0.6719044761324922","35","Fixed O&M ($/MWe/year)","7400","6300","5400","0.8513513513513513","0.8571428571428571"
"2.e. Floating PV","Floating PV","28","Specific investment, total system (M$/MWe)","1.3764","0.9582727341240835","0.6499257672348429","0.6962167495815776","0.6782262962213075","34","Fixed O&M ($/MWe/year)","13750","11800","10000","0.8581818181818182","0.847457627118644"
"3.a. Wind Onshore","Wind Onshore","27","Specific investment, total system (M$/MW)","1.37","1.300166292728184","1.2311965258338629","0.94902649104247","0.9469531187817525","30","Fixed O&M ($/MWe/year)","27400.000000000004","26000","24600","0.9489051094890509","0.9461538461538461"
"3.b. Small wind onshore","Small wind onshore","26","Specific investment, total system (M$/MW)","3.425330204892747","3.250729105011149","3.078288064304922","0.9490264910424702","0.9469531187817524","29","Fixed O&M ($/MWe/year)","68500","64300","60200","0.9386861313868613","0.9362363919129082"
"4.a. Wind Offshore fixed bottom","Wind Offshore fixed bottom","28","Specific investment, total system (M$/MW)","4.3378378","3.2382852571097995","2.268564544615897","0.7465205953781396","0.7005449997448997","32","Fixed O&M ($/MWe/year)","108500","81000","56500","0.7465437788018433","0.6975308641975309"
"4.b. Wind offshore floating","Wind offshore floating","27","Specific investment, total system (M$/MW)","-","5.42229725","2.835705680769871","","0.5229712702987412","31","Fixed O&M ($/MWe/year)","-","135625","70625","","0.5207373271889401"
"5.a. Large RoR hydro power","Large RoR hydro power","27","Nominal investment (M$/MWe)","2.5","2.4955233871279576","2.482822886724252","0.998209354851183","0.9949106866843181","30","Fixed O&M ($/MWe/year)","55000","54900","54600","0.9981818181818182","0.994535519125683"
"5.b. Small RoR hydro power","Small RoR hydro power","27","Nominal investment (M$/MWe)","3.02","3.0145922516505728","2.9992500471628962","0.998209354851183","0.9949106866843181","30","Fixed O&M ($/MWe/year)","66500","66400","66000","0.9984962406015038","0.9939759036144579"
"5.c. Mini RoR hydro power","Mini RoR hydro power","27","Nominal investment (M$/MWe)","4.261379529597947","4.252371851666039","4.230730198978125","0.9978862061289441","0.9949106866843183","30","Fixed O&M ($/MWe/year)","94000","93600","93100","0.9957446808510638","0.9946581196581197"
"5.d. Large Hydro reservoir","Large Hydro reservoir","28","Nominal investment (M$/MWe)","2.5","2.4955233871279576","2.482822886724252","0.998209354851183","0.9949106866843181","31","Fixed O&M ($/MWe/year)","55000","54900","54600","0.9981818181818182","0.994535519125683"
"6.a. Geothermal large","Geothermal large","28","Nominal investment (M$/MWe)","4.718473599999999","4.444720500170327","4.102142348284847","0.941982699695581","0.9229247031680953","31","Fixed O&M ($/MWe/year)","89800","84600","78100","0.9420935412026726","0.9231678486997635"
"6.b. Geothermal small","Geothermal small","28","Nominal investment (M$/MWe)","6.0036552","5.655339333337413","5.219452375535286","0.941982699695581","0.9229247031680953","31","Fixed O&M ($/MWe/year)","88900","83700","77300","0.9415073115860517","0.9235364396654719"
"7. Biomass power plant","Biomass power plant","28","Nominal investment (M$/MWe)","2.5633584","2.4659974608158164","2.31919631708662","0.9620182104912901","0.940469872308534","31","Fixed O&M ($/MWe/year)","60700","58400","54900","0.9621087314662273","0.940068493150685"
"8. Biogas power plant","Biogas power plant","25","Nominal investment (M$/MWe)","4.38","4.213639761951851","3.962801248877018","0.9620182104912901","0.9404698723085338","28","Fixed O&M ($/MWe/year)","46200","44400","41800","0.961038961038961","0.9414414414414415"
"9. Coal Supercritical","Coal Supercritical","30","Nominal investment (M$/MWe)","1.7988480000000002","1.7773694674956986","1.7076094168858937","0.9880598402398081","0.9607509570263428","33","Fixed O&M ($/MWe/year)","50500","49900","47900","0.9881188118811881","0.9599198396793587"
"10. CCGT (GAS)","CCGT (GAS)","30","Nominal investment (M$/MWe)","1.1048057370635667","1.091614180059051","1.04876936819526","0.9880598402398081","0.9607509570263428","33","Fixed O&M ($/MWe/year)","32900","32500","31200","0.9878419452887538","0.96"
"11. SCGT (GAS)","SCGT (GAS)","30","Nominal investment (M$/MWe)","0.9738678762507514","0.9622397382229987","0.9244727493865237","0.9880598402398081","0.9607509570263429","33","Fixed O&M ($/MWe/year)","29400","29000","27900","0.9863945578231292","0.9620689655172414"
"12. MSW","MSW","27","Nominal investment ( million $/MWe)","5.375450245094349","5.31126651038496","5.102804382874314","0.9880598402398081","0.9607509570263428","30","Fixed O&M ($/MWe/year)","432000","427000","410000","0.9884259259259259","0.9601873536299765"
"13.a. Nuclear PWR","Nuclear PWR","37","Nominal investment (M$/MWe)","9","7.9","6.8","0.8777777777777778","0.860759493670886","40","Fixed O&M ($/MWe/year)","127000","120000","113000","0.9448818897637795","0.9416666666666667"
"13.b. Nuclear SMR","Nuclear SMR","36","Nominal investment (M$/MWe)","-","9.6","7.3","","0.7604166666666666","39","Fixed O&M ($/MWe/year)","-","110000","102000","","0.9272727272727272"
"14.a. Utility-scale Lithium-ion","Utility-scale Lithium-ion","21","Total investment (MUSD/MWh)","0.47126680672268906","0.2847586745471935","0.2035798900428344","0.6042408896299716","0.7149207670900813","25","Fixed O&M (USD/MW/year)","15000","10829.62125192872","8673.993590562619","0.7219747501285814","0.8009507801593532"
"14.b. Small-scale Lithium-ion","Small-scale Lithium-ion","21","Total investment (MUSD/MWh)","1.3282103241387317","0.8025589878733002","0.573766087245419","0.6042408896299716","0.7149207670900813","25","Fixed O&M (USD/MW/year)","42275.743968966824","30522.019688494704","24446.635481538968","0.7219747501285814","0.8009507801593531"
"15. Hydro pumped storage","Hydro pumped storage","25","Nominal investment (M$/MWe)","1.2","1.1978512258214196","1.1917549856276408","0.998209354851183","0.9949106866843181","28","Fixed O&M ($/MWe/year)","24000","24000","23800","1.0","0.9916666666666667"
